Date,SPY,BND,GLD,QQQ,VTI
2009-08-24,77.86626434326172,51.14794158935547,92.33999633789062,35.17029571533203,39.509952545166016
2009-08-25,78.01753234863281,51.23253631591797,92.76000213623047,35.27516555786133,39.5859260559082
2009-08-26,78.02507019042969,51.265140533447266,92.79000091552734,35.21400451660156,39.5555419921875
2009-08-27,78.19905090332031,51.20651626586914,93.19000244140625,35.3013801574707,39.69231033325195
2009-08-28,78.18390655517578,51.31066131591797,93.87000274658203,35.3363151550293,39.661903381347656
2009-08-31,77.4881362915039,51.4083366394043,93.4000015258789,34.97808837890625,39.282020568847656
2009-09-01,75.77894592285156,51.46775817871094,93.9000015258789,34.322750091552734,38.415828704833984
2009-09-02,75.49159240722656,51.57880783081055,96.19000244140625,34.29652786254883,38.25626754760742
2009-09-03,76.11927795410156,51.48735427856445,97.45999908447266,34.52370834350586,38.605777740478516
2009-09-04,77.18563079833984,51.43513870239258,97.52999877929688,35.266414642333984,39.09965896606445
2009-09-08,77.85113525390625,51.408966064453125,97.43000030517578,35.59847640991211,39.49473571777344
2009-09-09,78.44859313964844,51.493839263916016,97.08000183105469,35.904300689697266,39.88986587524414
2009-09-10,79.25025177001953,51.6898193359375,97.69999694824219,36.24507141113281,40.300148010253906
2009-09-11,79.235107421875,51.715980529785156,98.77999877929688,36.28004837036133,40.330535888671875
2009-09-14,79.62085723876953,51.52001953125,97.95999908447266,36.41984558105469,40.54328536987305
2009-09-15,79.95362091064453,51.559200286865234,98.9000015258789,36.533447265625,40.740848541259766
2009-09-16,81.16368103027344,51.57225036621094,99.91000366210938,37.06644058227539,41.37907409667969
2009-09-17,81.0426254272461,51.72250747680664,99.33999633789062,37.057708740234375,41.30309295654297
2009-09-18,81.09429931640625,51.66370391845703,98.66999816894531,37.119808197021484,41.3638801574707
2009-09-21,80.88914489746094,51.62446975708008,98.36000061035156,37.2335205078125,41.249908447265625
2009-09-22,81.36030578613281,51.559200286865234,99.66999816894531,37.30348587036133,41.49304962158203
2009-09-23,80.68396759033203,51.70943832397461,98.83000183105469,37.128562927246094,41.067543029785156
2009-09-24,79.794921875,51.73554992675781,97.55000305175781,36.796199798583984,40.630950927734375
2009-09-25,79.36937713623047,51.89885330200195,97.0,36.47258758544922,40.37141418457031
2009-09-28,80.79035949707031,51.92495346069336,97.05000305175781,37.09357452392578,41.12709426879883
2009-09-29,80.54718017578125,51.92495346069336,97.43000030517578,36.92741012573242,41.05838394165039
2009-09-30,80.23567199707031,51.92495346069336,98.8499984741211,36.95363235473633,40.90572738647461
2009-10-01,78.2447509765625,52.15953063964844,97.88999938964844,35.860328674316406,39.82182693481445
2009-10-02,77.88003540039062,52.00227355957031,98.37000274658203,35.7553596496582,39.585208892822266
2009-10-05,79.04263305664062,52.08089065551758,99.81999969482422,36.04399108886719,40.19585418701172
2009-10-06,80.17485809326172,52.13988494873047,102.27999877929688,36.68247985839844,40.79124450683594
2009-10-07,80.39521026611328,52.16605758666992,102.36000061035156,36.787452697753906,40.88283920288086
2009-10-08,81.0107192993164,52.146427154541016,103.63999938964844,36.94488525390625,41.241580963134766
2009-10-09,81.5046615600586,51.766422271728516,102.83999633789062,37.15480041503906,41.52400588989258
2009-10-12,81.82381439208984,51.943321228027344,103.55999755859375,37.2335205078125,41.676666259765625
2009-10-13,81.65663146972656,51.982601165771484,104.26000213623047,37.24226379394531,41.56217956542969
2009-10-14,83.0624008178711,51.759864807128906,104.18000030517578,37.74957275390625,42.302581787109375
2009-10-15,83.36637878417969,51.77296829223633,102.86000061035156,37.66209030151367,42.44761657714844
2009-10-16,82.74320983886719,51.792606353759766,103.18000030517578,37.41718292236328,42.134666442871094
2009-10-19,83.42716979980469,51.864707946777344,104.2300033569336,37.793270111083984,42.4781494140625
2009-10-20,82.98641967773438,51.96954345703125,103.41999816894531,37.802040100097656,42.2186279296875
2009-10-21,82.2417221069336,51.962974548339844,103.75,37.732059478759766,41.80642318725586
2009-10-22,83.07759094238281,51.91709518432617,103.91999816894531,37.880760192871094,42.25679016113281
2009-10-23,82.12776184082031,51.759864807128906,103.48999786376953,37.72331237792969,41.714847564697266
2009-10-26,81.23870086669922,51.69432830810547,101.86000061035156,37.60086441040039,41.241580963134766
2009-10-27,80.86634063720703,51.877811431884766,101.8499984741211,37.03234100341797,41.020225524902344
2009-10-28,79.33898162841797,51.82536697387695,100.7300033569336,36.20145034790039,40.12715530395508
2009-10-29,81.04110717773438,51.851558685302734,102.69000244140625,36.81367874145508,40.93626022338867
2009-10-30,78.6930923461914,52.067806243896484,102.52999877929688,35.825340270996094,39.829471588134766
2009-11-02,79.27059936523438,52.02375411987305,103.94999694824219,35.97404861450195,40.05083084106445
2009-11-03,79.52135467529297,51.93173599243164,106.45999908447266,36.08774948120117,40.2340202331543
2009-11-04,79.7265396118164,51.91859817504883,107.0999984741211,36.14896011352539,40.302696228027344
2009-11-05,81.19309997558594,51.964599609375,106.9800033569336,37.04109573364258,41.07366180419922
2009-11-06,81.4058609008789,51.97773742675781,107.43000030517578,37.259765625,41.18052291870117
2009-11-09,83.25994873046875,52.0828971862793,108.19000244140625,38.05568313598633,42.10413360595703
2009-11-10,83.2751693725586,52.10260772705078,108.38999938964844,38.15190124511719,42.11940383911133
2009-11-11,83.70068359375,52.234092712402344,109.5999984741211,38.39678955078125,42.33311462402344
2009-11-12,82.84962463378906,52.293251037597656,108.20999908447266,38.178138732910156,41.85987091064453
2009-11-13,83.29798889160156,52.260379791259766,109.73999786376953,38.493003845214844,42.10413360595703
